id	pointName	xsect(pb)
594	pMSSM12_MCMC1_3_904786	1.84
595	pMSSM12_MCMC1_7_215379	0.1815
596	pMSSM12_MCMC1_39_738789	0.2593
597	pMSSM12_MCMC1_8_751915	0.01131
598	pMSSM12_MCMC1_29_320820	0.103
599	pMSSM12_MCMC1_41_673059	0.1485
600	pMSSM12_MCMC1_30_740874	1.259
601	pMSSM12_MCMC1_28_770958	0.0605
602	pMSSM12_MCMC1_47_963120	0.1284
603	pMSSM12_MCMC1_2_787492	0.05202
604	pMSSM12_MCMC1_2_248869	0.005987
605	pMSSM12_MCMC1_43_479004	0.06944
607	pMSSM12_MCMC1_42_915394	0.3129
608	pMSSM12_MCMC1_25_761597	0.01452
609	pMSSM12_MCMC1_3_528630	0.05354
610	pMSSM12_MCMC1_11_953242	0.671
611	pMSSM12_MCMC1_39_536159	8.958e-05
612	pMSSM12_MCMC1_32_439107	0.0001971
614	pMSSM12_MCMC1_4_474784	0.0005948
615	pMSSM12_MCMC1_7_671568	0.01113
616	pMSSM12_MCMC1_28_243193	0.03335
617	pMSSM12_MCMC1_10_982534	0.1818
618	pMSSM12_MCMC1_6_542439	1.976
619	pMSSM12_MCMC1_48_991830	0.01159
620	pMSSM12_MCMC1_7_193829	0.07892
621	pMSSM12_MCMC1_46_984948	0.04489
623	pMSSM12_MCMC1_45_243922	0.6354
624	pMSSM12_MCMC1_21_475212	0.2492
625	pMSSM12_MCMC1_41_474502	0.004612
627	pMSSM12_MCMC1_33_721170	1.389
629	pMSSM12_MCMC1_42_972927	0.01452
630	pMSSM12_MCMC1_23_510125	0.005835
631	pMSSM12_MCMC1_28_999480	2.35
632	pMSSM12_MCMC1_3_988013	0.01306
633	pMSSM12_MCMC1_24_362372	0.5406
634	pMSSM12_MCMC1_20_673211	0.4996
635	pMSSM12_MCMC1_8_790858	1.972e-05
636	pMSSM12_MCMC1_40_664111	0.02395
637	pMSSM12_MCMC1_24_194544	0.003985
638	pMSSM12_MCMC1_8_666894	0.03722
639	pMSSM12_MCMC1_47_461121	0.2404
640	pMSSM12_MCMC1_10_322456	0.1153
641	pMSSM12_MCMC1_47_246866	0.02248
642	pMSSM12_MCMC1_12_400234	0.1215
643	pMSSM12_MCMC1_19_341882	0.001572
644	pMSSM12_MCMC1_26_286963	0.007472
645	pMSSM12_MCMC1_5_346110	0.01724
646	pMSSM12_MCMC1_36_765487	0.04111
647	pMSSM12_MCMC1_43_500641	0.06191
649	pMSSM12_MCMC1_8_600849	0.4488
650	pMSSM12_MCMC1_13_182156	1.043
651	pMSSM12_MCMC1_17_389229	0.1218
654	pMSSM12_MCMC1_17_656675	0.6369
655	pMSSM12_MCMC1_13_214488	0.00483
656	pMSSM12_MCMC1_8_291727	0.002166
659	pMSSM12_MCMC1_32_344511	0.004513
660	pMSSM12_MCMC1_2_701207	0.6271
661	pMSSM12_MCMC1_10_729830	1.034
662	pMSSM12_MCMC1_7_374988	0.04189
664	pMSSM12_MCMC1_22_876705	0.2458
665	pMSSM12_MCMC1_42_581883	0.01098
666	pMSSM12_MCMC1_4_881774	0.28
667	pMSSM12_MCMC1_33_664999	0.1647
668	pMSSM12_MCMC1_2_569621	0.3257
670	pMSSM12_MCMC1_41_251777	0.0005599
671	pMSSM12_MCMC1_30_995263	0.007857
672	pMSSM12_MCMC1_36_791251	0.1807
675	pMSSM12_MCMC1_15_981956	0.008178
676	pMSSM12_MCMC1_29_530146	0.000172
677	pMSSM12_MCMC1_20_576607	0.003692
678	pMSSM12_MCMC1_19_471855	6.924e-05
679	pMSSM12_MCMC1_43_850319	4.05
680	pMSSM12_MCMC1_21_587007	0.01531
685	pMSSM12_MCMC1_39_960684	0.009889
687	pMSSM12_MCMC1_48_499160	0.05154
689	pMSSM12_MCMC1_34_589597	0.1355
690	pMSSM12_MCMC1_1_319054	0.02174
691	pMSSM12_MCMC1_46_777655	0.01856
692	pMSSM12_MCMC1_13_182800	0.01347
694	pMSSM12_MCMC1_6_988565	0.06911
695	pMSSM12_MCMC1_17_760611	1.221
696	pMSSM12_MCMC1_39_901571	203.4
697	pMSSM12_MCMC1_2_351204	0.00479
701	pMSSM12_MCMC1_47_612884	0.00112
702	pMSSM12_MCMC1_40_764318	1.435e-05
703	pMSSM12_MCMC1_22_903364	0.1925
704	pMSSM12_MCMC1_9_858319	0.1705
705	pMSSM12_MCMC1_4_534385	0.1345
706	pMSSM12_MCMC1_44_210744	0.004536
710	pMSSM12_MCMC1_18_641375	0.06706
711	pMSSM12_MCMC1_17_610944	0.006375
712	pMSSM12_MCMC1_20_206136	0.08944
713	pMSSM12_MCMC1_42_313989	0.9545
719	pMSSM12_MCMC1_40_597018	1.143
721	pMSSM12_MCMC1_12_804922	0.1024
722	pMSSM12_MCMC1_30_756608	0.9833
723	pMSSM12_MCMC1_39_545800	1.796
725	pMSSM12_MCMC1_16_223426	0.003384
726	pMSSM12_MCMC1_36_689242	0.1602
727	pMSSM12_MCMC1_45_293983	0.08408
728	pMSSM12_MCMC1_13_414327	0.02643
730	pMSSM12_MCMC1_39_771254	0.05473
731	pMSSM12_MCMC1_28_972558	0.968
733	pMSSM12_MCMC1_43_688699	0.003899
734	pMSSM12_MCMC1_36_647068	0.1085
735	pMSSM12_MCMC1_20_180592	0.5215
737	pMSSM12_MCMC1_8_241135	0.7795
738	pMSSM12_MCMC1_30_670450	0.0005661
739	pMSSM12_MCMC1_4_241741	0.001694
740	pMSSM12_MCMC1_27_781080	0.0003864
741	pMSSM12_MCMC1_5_192091	0.06731
742	pMSSM12_MCMC1_3_503666	0.001954
